"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dataset_size","epochs","hidden","hidden_dims","layers","repetitions","start_lr","best_test_acc","best_val_acc","epoch","lr","test_acc","train_acc","val_acc"
"solar-sweep-21","finished","-","nicolas-debie","","2023-11-13T21:29:04.000Z","15","tdztg2wo","64","50","200","","128","2","","0.01","","","199","0.00001","0.9","1","0.9285714285714286"
"zesty-sweep-20","finished","-","nicolas-debie","","2023-11-13T21:28:48.000Z","10","tdztg2wo","64","50","200","","64","5","","0.01","","","199","0.00001","0.74","1","0.7857142857142857"
"crimson-sweep-19","finished","-","nicolas-debie","","2023-11-13T21:28:28.000Z","17","tdztg2wo","64","50","200","","64","4","","0.01","","","199","0.00001","0.78","1","0.8333333333333334"
"sage-sweep-18","finished","-","nicolas-debie","","2023-11-13T21:28:12.000Z","9","tdztg2wo","64","50","200","","64","3","","0.01","","","199","0.00001","0.88","1","0.8571428571428571"
"honest-sweep-17","finished","-","nicolas-debie","","2023-11-13T21:27:56.000Z","10","tdztg2wo","64","50","200","","64","2","","0.01","","","199","0.00001","0.9","1","0.9285714285714286"
"clear-sweep-16","finished","-","nicolas-debie","","2023-11-13T21:27:44.000Z","9","tdztg2wo","64","50","200","","32","5","","0.01","","","199","0.00001","0.9","1","0.7857142857142857"
"clear-sweep-15","finished","-","nicolas-debie","","2023-11-13T21:27:28.000Z","11","tdztg2wo","64","50","200","","32","4","","0.01","","","199","0.00001","0.84","1","0.8095238095238095"
"wandering-sweep-14","finished","-","nicolas-debie","","2023-11-13T21:27:13.000Z","13","tdztg2wo","64","50","200","","32","3","","0.01","","","199","0.00001","0.88","1","0.9285714285714286"
"fine-sweep-13","finished","-","nicolas-debie","","2023-11-13T21:27:02.000Z","9","tdztg2wo","64","50","200","","32","2","","0.01","","","199","0.00001","0.94","1","0.9285714285714286"
"visionary-sweep-12","finished","-","nicolas-debie","","2023-11-13T21:26:41.000Z","16","tdztg2wo","64","25","200","","128","5","","0.01","","","199","0.00001","0.74","1","0.7380952380952381"
"dark-sweep-11","finished","-","nicolas-debie","","2023-11-13T21:26:18.000Z","15","tdztg2wo","64","25","200","","128","4","","0.01","","","199","0.00001","0.76","1","0.7857142857142857"
"fine-sweep-10","finished","-","nicolas-debie","","2023-11-13T21:26:02.000Z","10","tdztg2wo","64","25","200","","128","3","","0.01","","","199","0.00001","0.86","1","0.8809523809523809"
"clear-sweep-9","finished","-","nicolas-debie","","2023-11-13T21:25:52.000Z","8","tdztg2wo","64","25","200","","128","2","","0.01","","","199","0.00001","0.84","1","0.8333333333333334"
"elated-sweep-8","finished","-","nicolas-debie","","2023-11-13T21:25:36.000Z","11","tdztg2wo","64","25","200","","64","5","","0.01","","","199","0.00001","0.76","1","0.7619047619047619"
"easy-sweep-7","finished","-","nicolas-debie","","2023-11-13T21:25:20.000Z","10","tdztg2wo","64","25","200","","64","4","","0.01","","","199","0.00001","0.82","1","0.7380952380952381"
"warm-sweep-6","finished","-","nicolas-debie","","2023-11-13T21:25:04.000Z","10","tdztg2wo","64","25","200","","64","3","","0.01","","","199","0.00001","0.9","1","0.8809523809523809"
"amber-sweep-5","finished","-","nicolas-debie","","2023-11-13T21:24:49.000Z","14","tdztg2wo","64","25","200","","64","2","","0.01","","","199","0.00001","0.84","1","0.8809523809523809"
"usual-sweep-4","finished","-","nicolas-debie","","2023-11-13T21:24:33.000Z","9","tdztg2wo","64","25","200","","32","5","","0.01","","","199","0.00001","0.86","1","0.8095238095238095"
"mild-sweep-3","finished","-","nicolas-debie","","2023-11-13T21:24:17.000Z","11","tdztg2wo","64","25","200","","32","4","","0.01","","","199","0.00001","0.86","1","0.8571428571428571"
"pious-sweep-2","finished","-","nicolas-debie","","2023-11-13T21:24:01.000Z","14","tdztg2wo","64","25","200","","32","3","","0.01","","","199","0.00001","0.76","1","0.8571428571428571"
"usual-sweep-1","finished","-","nicolas-debie","","2023-11-13T21:23:44.000Z","9","tdztg2wo","64","25","200","","32","2","","0.01","","","199","0.00001","0.84","1","0.8809523809523809"
