,epoch,_wandb,val_acc,_runtime,test_acc,train_acc,lr,_step,_timestamp,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
85,199.0,{'runtime': 12},0.72,13.226996660232544,0.7065217391304348,0.765,1e-05,199.0,1701881604.8549278,4,GCN,2,HotIn,32,16,0,200
86,199.0,{'runtime': 16},1.0,17.073130130767822,0.9891304347826086,0.995,1e-05,199.0,1701881608.0086532,4,GIN,2,HotIn,32,16,1,200
87,199.0,{'runtime': 17},1.0,18.12720322608948,0.9891304347826086,1.0,1e-05,199.0,1701881607.0730062,4,GIN,2,HotIn,32,16,0,200
88,199.0,{'runtime': 9},0.98,10.070751190185549,1.0,1.0,1e-05,199.0,1701881582.6196852,4,GlobalAttentionNet,1,HotIn,32,16,1,200
89,199.0,{'runtime': 9},0.98,10.231619119644163,0.967391304347826,1.0,1e-05,199.0,1701881582.539448,4,GlobalAttentionNet,1,HotIn,32,16,0,200
90,199.0,{'runtime': 11},0.98,11.940309047698976,0.967391304347826,0.995,1e-05,199.0,1701881581.013678,4,SAGPool,1,HotIn,32,16,1,200
91,199.0,{'runtime': 11},0.98,12.378504276275637,0.9456521739130436,0.98,1e-05,199.0,1701881580.1995132,4,SAGPool,1,HotIn,32,16,0,200
92,199.0,{'runtime': 12},0.86,12.553980112075806,0.8478260869565217,0.88,1e-05,199.0,1701881580.244929,4,GCN,1,HotIn,32,16,1,200
93,199.0,{'runtime': 12},1.0,12.716063737869264,0.9891304347826086,0.995,1e-05,199.0,1701881580.124082,4,GCN,1,HotIn,32,16,0,200
94,199.0,{'runtime': 14},1.0,14.854001998901367,1.0,1.0,1e-05,199.0,1701881579.967445,4,GIN,1,HotIn,32,16,1,200
95,199.0,{'runtime': 14},1.0,15.370314836502075,0.9891304347826086,0.995,1e-05,199.0,1701881580.077596,4,GIN,1,HotIn,32,16,0,200
96,199.0,{'runtime': 15},1.0,16.36448073387146,1.0,1.0,1e-05,199.0,1701881556.1150348,3,GlobalAttentionNet,4,HotIn,32,64,1,200
97,199.0,{'runtime': 15},1.0,16.242921113967896,0.9891304347826086,1.0,1e-05,199.0,1701881556.209345,3,GlobalAttentionNet,4,HotIn,32,64,0,200
98,199.0,{'runtime': 17},0.96,18.634257793426514,0.967391304347826,1.0,1e-05,199.0,1701881557.3845818,3,SAGPool,4,HotIn,32,64,1,200
99,199.0,{'runtime': 19},0.96,19.849826097488403,0.9782608695652174,1.0,1e-05,199.0,1701881557.624428,3,SAGPool,4,HotIn,32,64,0,200
