,_step,_wandb,val_acc,train_acc,_timestamp,lr,epoch,_runtime,test_acc,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
843,199.0,{'runtime': 17},1.0,1.0,1702386482.666174,1e-05,199.0,17.993829011917114,0.7934782608695652,4,GINE,3,HotEdgesFull,16,64,"[1, 2]",25
844,199.0,{'runtime': 6},0.6666666666666666,1.0,1702386460.910888,1e-05,199.0,7.270704984664917,0.7717391304347826,4,GlobalAttentionNet,2,HotEdgesFull,16,64,"[1, 2]",25
845,199.0,{'runtime': 10},0.6666666666666666,1.0,1702386461.062521,1e-05,199.0,10.737852096557615,0.717391304347826,4,GINE,2,HotEdgesFull,16,64,"[1, 2]",25
846,199.0,{'runtime': 8},0.8333333333333334,1.0,1702386457.7846432,1e-05,199.0,8.939570188522339,0.7717391304347826,4,GlobalAttentionNet,1,HotEdgesFull,16,64,"[1, 2]",25
847,199.0,{'runtime': 9},0.6666666666666666,1.0,1702386458.641502,1e-05,199.0,10.379408836364746,0.7608695652173914,4,GINE,1,HotEdgesFull,16,64,"[1, 2]",25
848,199.0,{'runtime': 10},0.5,1.0,1702386456.327232,1e-05,199.0,10.940508842468262,0.75,4,GlobalAttentionNet,4,HotEdgesFull,16,32,"[1, 2]",25
849,199.0,{'runtime': 14},0.8333333333333334,1.0,1702386459.972492,1e-05,199.0,15.488286018371582,0.75,4,GINE,4,HotEdgesFull,16,32,"[1, 2]",25
850,199.0,{'runtime': 9},0.5,1.0,1702386454.538802,1e-05,199.0,10.412755966186523,0.7717391304347826,4,GlobalAttentionNet,3,HotEdgesFull,16,32,"[1, 2]",25
851,199.0,{'runtime': 14},0.8333333333333334,1.0,1702386455.651762,1e-05,199.0,15.06414008140564,0.7608695652173914,4,GINE,3,HotEdgesFull,16,32,"[1, 2]",25
852,199.0,{'runtime': 9},0.5,1.0,1702386435.653412,1e-05,199.0,10.224869012832642,0.75,4,GlobalAttentionNet,2,HotEdgesFull,16,32,"[1, 2]",25
853,199.0,{'runtime': 11},0.8333333333333334,1.0,1702386437.7757928,1e-05,199.0,12.521724939346312,0.7717391304347826,4,GINE,2,HotEdgesFull,16,32,"[1, 2]",25
854,199.0,{'runtime': 9},0.6666666666666666,1.0,1702386435.110368,1e-05,199.0,9.696883916854858,0.7608695652173914,4,GlobalAttentionNet,1,HotEdgesFull,16,32,"[1, 2]",25
855,199.0,{'runtime': 11},0.6666666666666666,1.0,1702386435.50807,1e-05,199.0,12.060681104660034,0.7391304347826086,4,GINE,1,HotEdgesFull,16,32,"[1, 2]",25
856,199.0,{'runtime': 15},0.8333333333333334,0.9615384615384616,1702386438.489011,1e-05,199.0,16.514373064041138,0.7608695652173914,4,GINE,4,HotEdgesFull,16,16,"[1, 2]",25
857,199.0,{'runtime': 10},0.5,1.0,1702386434.242319,1e-05,199.0,11.561034202575684,0.7608695652173914,4,GlobalAttentionNet,4,HotEdgesFull,16,16,"[1, 2]",25
858,199.0,{'runtime': 11},0.5,1.0,1702386431.414992,1e-05,199.0,11.832555770874023,0.75,4,GlobalAttentionNet,3,HotEdgesFull,16,16,"[1, 2]",25
859,199.0,{'runtime': 17},0.5,1.0,1702386435.600705,1e-05,199.0,17.519702911376953,0.7717391304347826,4,GINE,3,HotEdgesFull,16,16,"[1, 2]",25
860,199.0,{'runtime': 12},0.8333333333333334,1.0,1702386412.938335,1e-05,199.0,13.003453016281128,0.75,4,GINE,2,HotEdgesFull,16,16,"[1, 2]",25
861,199.0,{'runtime': 10},0.5,1.0,1702386411.271414,1e-05,199.0,10.907029151916504,0.7608695652173914,4,GlobalAttentionNet,2,HotEdgesFull,16,16,"[1, 2]",25
862,199.0,{'runtime': 10},0.6666666666666666,1.0,1702386410.103766,1e-05,199.0,10.691882848739624,0.7717391304347826,4,GlobalAttentionNet,1,HotEdgesFull,16,16,"[1, 2]",25
